sample_id,uid,ai_chrom_index,n_ai_peaks,n_trad_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order,plot_path
test3_43,aldicarb sulfoxide-2,12,2,1,0,1,RED,189,plots\test3_43\0189_chrom012_aldicarb sulfoxide-2_RED.png
test3_29,hexythiazox-1,649,1,1,0,0,GREEN,190,plots\test3_29\0190_chrom649_hexythiazox-1_GREEN.png
test3_49,hexaconazole-2,486,1,1,0,0,GREEN,191,plots\test3_49\0191_chrom486_hexaconazole-2_GREEN.png
test3_29,tricyclazole-1,91,1,1,0,0,GREEN,192,plots\test3_29\0192_chrom091_tricyclazole-1_GREEN.png
test3_56,flutolanil-2,324,1,1,0,0,GREEN,193,plots\test3_56\0193_chrom324_flutolanil-2_GREEN.png
test3_3,pyrisoxazole-2,304,2,1,0,1,RED,194,plots\test3_3\0194_chrom304_pyrisoxazole-2_RED.png
test3_9,fenamiphos-1,431,1,1,0,0,GREEN,195,plots\test3_9\0195_chrom431_fenamiphos-1_GREEN.png
test3_51,pyriproxyfen-2,628,1,1,0,0,GREEN,196,plots\test3_51\0196_chrom628_pyriproxyfen-2_GREEN.png
test3_22,fensulfothion sulfone-2,234,1,1,0,0,GREEN,197,plots\test3_22\0197_chrom234_fensulfothion sulfone-2_GREEN.png
test3_7,iprodione-2,394,2,1,0,2,RED,198,plots\test3_7\0198_chrom394_iprodione-2_RED.png
test3_56,spirotetramat-keto-hydroxy-2,240,1,1,0,0,GREEN,199,plots\test3_56\0199_chrom240_spirotetramat-keto-hydroxy-2_GREEN.png
test3_20,acetochlor-1,379,1,1,0,0,GREEN,200,plots\test3_20\0200_chrom379_acetochlor-1_GREEN.png
test3_32,oxydemeton-methyl-2,20,3,1,0,3,RED,201,plots\test3_32\0201_chrom020_oxydemeton-methyl-2_RED.png
test3_42,isoprocarb-2,186,1,1,0,0,GREEN,202,plots\test3_42\0202_chrom186_isoprocarb-2_GREEN.png
test3_20,sulfentrazone-2,154,2,1,1,0,GREEN,203,plots\test3_20\0203_chrom154_sulfentrazone-2_GREEN.png
test3_49,sulfoxaflor-2,66,1,1,0,0,GREEN,204,plots\test3_49\0204_chrom066_sulfoxaflor-2_GREEN.png
test3_53,mesosulfuron-methyl-2,202,1,1,0,0,GREEN,205,plots\test3_53\0205_chrom202_mesosulfuron-methyl-2_GREEN.png
test3_25,clethodim sulfoxide-2,238,1,1,0,0,GREEN,206,plots\test3_25\0206_chrom238_clethodim sulfoxide-2_GREEN.png
test3_27,propisochlor-2,398,1,1,0,0,GREEN,207,plots\test3_27\0207_chrom398_propisochlor-2_GREEN.png
test3_21,quizalofop-ethyl-2,594,1,1,0,0,GREEN,208,plots\test3_21\0208_chrom594_quizalofop-ethyl-2_GREEN.png
test3_37,dimepiperate-1,543,1,1,0,0,GREEN,209,plots\test3_37\0209_chrom543_dimepiperate-1_GREEN.png
test3_51,chlorantraniliprole-1,253,1,1,0,0,GREEN,210,plots\test3_51\0210_chrom253_chlorantraniliprole-1_GREEN.png
test3_39,disulfoton sulfoxide-2,180,1,1,0,0,GREEN,211,plots\test3_39\0211_chrom180_disulfoton sulfoxide-2_GREEN.png
