"sample_id","uid","ai_chrom_index","n_ai_peaks","n_trad_peaks","n_ignored_weak","n_review_required","channel_alert_level","random_order","plot_path","review_filename","source_absolute_path","review_absolute_path"
"test3_29","metconazole-1","505","2","1","0","1","RED","2819","plots\test3_29\2819_chrom505_metconazole-1_RED.png","test3_29_2819_chrom505_metconazole-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_29\2819_chrom505_metconazole-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_29_2819_chrom505_metconazole-1_RED.png"
"test3_30","chlorpyrifos-methyl-2","518","2","1","0","1","RED","2828","plots\test3_30\2828_chrom518_chlorpyrifos-methyl-2_RED.png","test3_30_2828_chrom518_chlorpyrifos-methyl-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_30\2828_chrom518_chlorpyrifos-methyl-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_30_2828_chrom518_chlorpyrifos-methyl-2_RED.png"
"test3_9","oxyfluorfen-2","604","2","1","0","1","RED","2832","plots\test3_9\2832_chrom604_oxyfluorfen-2_RED.png","test3_9_2832_chrom604_oxyfluorfen-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_9\2832_chrom604_oxyfluorfen-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_9_2832_chrom604_oxyfluorfen-2_RED.png"
"test3_11","trichlorfon-1","59","1","1","0","1","YELLOW","2834","plots\test3_11\2834_chrom059_trichlorfon-1_YELLOW.png","test3_11_2834_chrom059_trichlorfon-1_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_11\2834_chrom059_trichlorfon-1_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_11_2834_chrom059_trichlorfon-1_YELLOW.png"
"test3_28","diflubenzuron-2","400","2","1","0","1","RED","2836","plots\test3_28\2836_chrom400_diflubenzuron-2_RED.png","test3_28_2836_chrom400_diflubenzuron-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_28\2836_chrom400_diflubenzuron-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_28_2836_chrom400_diflubenzuron-2_RED.png"
"test3_11","tolclofos-methyl-2","502","2","1","0","1","RED","2839","plots\test3_11\2839_chrom502_tolclofos-methyl-2_RED.png","test3_11_2839_chrom502_tolclofos-methyl-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_11\2839_chrom502_tolclofos-methyl-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_11_2839_chrom502_tolclofos-methyl-2_RED.png"
"test3_30","methoprene-1","693","2","1","0","1","RED","2848","plots\test3_30\2848_chrom693_methoprene-1_RED.png","test3_30_2848_chrom693_methoprene-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_30\2848_chrom693_methoprene-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_30_2848_chrom693_methoprene-1_RED.png"
"test3_15","thifluzamide-1","413","2","1","0","1","RED","2854","plots\test3_15\2854_chrom413_thifluzamide-1_RED.png","test3_15_2854_chrom413_thifluzamide-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_15\2854_chrom413_thifluzamide-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_15_2854_chrom413_thifluzamide-1_RED.png"
"test3_6","butachlor-2","576","3","1","0","2","RED","2856","plots\test3_6\2856_chrom576_butachlor-2_RED.png","test3_6_2856_chrom576_butachlor-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_6\2856_chrom576_butachlor-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_6_2856_chrom576_butachlor-2_RED.png"
"test3_24","metconazole-2","506","2","1","0","1","RED","2864","plots\test3_24\2864_chrom506_metconazole-2_RED.png","test3_24_2864_chrom506_metconazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_24\2864_chrom506_metconazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_24_2864_chrom506_metconazole-2_RED.png"
"test3_26","demeton-S-methyl-1","181","4","1","1","3","RED","2872","plots\test3_26\2872_chrom181_demeton-S-methyl-1_RED.png","test3_26_2872_chrom181_demeton-S-methyl-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_26\2872_chrom181_demeton-S-methyl-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_26_2872_chrom181_demeton-S-methyl-1_RED.png"
"test3_18","spirodiclofen-2","684","3","1","0","2","RED","2878","plots\test3_18\2878_chrom684_spirodiclofen-2_RED.png","test3_18_2878_chrom684_spirodiclofen-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_18\2878_chrom684_spirodiclofen-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_18_2878_chrom684_spirodiclofen-2_RED.png"
"test3_6","acetamiprid-2","58","3","1","0","3","RED","2879","plots\test3_6\2879_chrom058_acetamiprid-2_RED.png","test3_6_2879_chrom058_acetamiprid-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_6\2879_chrom058_acetamiprid-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_6_2879_chrom058_acetamiprid-2_RED.png"
"test3_43","phosmet oxon-2","98","2","1","0","1","RED","2883","plots\test3_43\2883_chrom098_phosmet oxon-2_RED.png","test3_43_2883_chrom098_phosmet oxon-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_43\2883_chrom098_phosmet oxon-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_43_2883_chrom098_phosmet oxon-2_RED.png"
"test3_44","teflubenzuron-2","602","2","1","0","2","RED","2897","plots\test3_44\2897_chrom602_teflubenzuron-2_RED.png","test3_44_2897_chrom602_teflubenzuron-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_44\2897_chrom602_teflubenzuron-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_44_2897_chrom602_teflubenzuron-2_RED.png"
"test3_3","pyrethrins I-1","677","2","1","0","2","RED","2900","plots\test3_3\2900_chrom677_pyrethrins I-1_RED.png","test3_3_2900_chrom677_pyrethrins I-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_3\2900_chrom677_pyrethrins I-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_3_2900_chrom677_pyrethrins I-1_RED.png"
"test3_16","dimethomorph-1","317","2","1","0","1","RED","2912","plots\test3_16\2912_chrom317_dimethomorph-1_RED.png","test3_16_2912_chrom317_dimethomorph-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_16\2912_chrom317_dimethomorph-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_16_2912_chrom317_dimethomorph-1_RED.png"
"test3_18","ethofumesate-1","281","3","1","0","3","RED","2916","plots\test3_18\2916_chrom281_ethofumesate-1_RED.png","test3_18_2916_chrom281_ethofumesate-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_18\2916_chrom281_ethofumesate-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_18_2916_chrom281_ethofumesate-1_RED.png"
"test3_24","chlorpropham-2","312","2","1","0","2","RED","2918","plots\test3_24\2918_chrom312_chlorpropham-2_RED.png","test3_24_2918_chrom312_chlorpropham-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_24\2918_chrom312_chlorpropham-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_24_2918_chrom312_chlorpropham-2_RED.png"
